"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"15/03/2024","27,050","26,255","27,085","26,000","0,08K","3,84%"
"14/03/2024","26,050","24,675","26,600","24,675","0,51K","4,60%"
"13/03/2024","24,905","25,100","25,425","24,555","0,24K","0,52%"
"12/03/2024","24,775","25,010","25,010","24,355","0,30K","-0,62%"
"11/03/2024","24,930","25,970","26,465","24,760","0,45K","-5,53%"
"08/03/2024","26,390","26,335","26,790","25,975","0,36K","1,54%"
"07/03/2024","25,990","26,015","26,925","25,760","0,18K","-2,18%"
"06/03/2024","26,570","27,065","28,560","26,150","0,29K","-3,28%"
"05/03/2024","27,470","26,660","28,685","26,660","0,47K","2,18%"
"04/03/2024","26,885","25,200","27,280","24,870","0,38K","4,17%"
"01/03/2024","25,809","25,275","25,900","25,125","0,58K","3,80%"
"29/02/2024","24,865","25,550","25,550","24,795","0,17K","-2,94%"
"28/02/2024","25,619","25,625","25,650","25,320","0,01K","5,04%"
"27/02/2024","24,390","23,250","24,750","23,250","0,11K","1,58%"
"26/02/2024","24,010","23,200","24,200","23,075","0,12K","4,69%"
"23/02/2024","22,934","22,770","23,450","22,650","0,12K","-1,13%"
"22/02/2024","23,195","23,975","23,975","22,750","0,35K","-3,25%"
"21/02/2024","23,975","24,100","24,250","23,655","0,48K","-0,81%"
"20/02/2024","24,170","24,355","24,690","23,425","0,58K","2,42%"
"19/02/2024","23,600","24,355","24,690","23,575","0,09K","-4,92%"
"16/02/2024","24,820","25,200","25,200","24,415","0,45K","-0,58%"
"15/02/2024","24,965","24,850","25,700","24,805","0,43K","0,44%"
"14/02/2024","24,855","25,105","25,415","24,555","0,82K","-2,28%"
"13/02/2024","25,435","26,150","26,495","25,250","0,81K","-1,15%"
"12/02/2024","25,730","26,180","26,325","25,630","0,52K","-5,11%"
"09/02/2024","27,115","27,255","27,450","26,650","0,27K","-2,50%"
"08/02/2024","27,810","28,150","28,505","27,665","0,59K","-1,33%"
"07/02/2024","28,185","28,225","28,845","28,005","0,28K","-1,47%"
"06/02/2024","28,605","28,420","29,200","27,800","0,33K","0,94%"
"05/02/2024","28,340","29,850","29,850","28,080","0,48K","-3,29%"
"02/02/2024","29,305","28,630","29,540","28,630","1,46K","1,09%"
"01/02/2024","28,990","30,140","30,715","28,800","1,04K","-4,12%"
"31/01/2024","30,235","29,490","31,050","29,180","0,20K","2,87%"
"30/01/2024","29,391","28,050","28,550","28,050","0,09K","4,32%"
"29/01/2024","28,175","28,540","28,950","28,155","0,21K","0,34%"
"26/01/2024","28,079","27,140","27,975","26,840","0,06K","1,06%"
"25/01/2024","27,785","28,800","29,215","27,485","0,12K","-3,96%"
"24/01/2024","28,930","27,455","29,130","27,445","0,63K","6,26%"
"23/01/2024","27,225","27,375","27,780","26,725","0,92K","-0,15%"
"22/01/2024","27,265","27,105","27,800","26,755","0,35K","-4,09%"
"19/01/2024","28,429","28,600","29,130","28,175","0,29K","1,91%"
"18/01/2024","27,895","27,675","28,705","27,550","0,38K","0,67%"
"17/01/2024","27,710","29,135","29,600","27,440","0,22K","-6,56%"
"16/01/2024","29,655","31,310","31,535","29,320","0,90K","-0,87%"
"15/01/2024","29,915","31,310","31,520","29,320","0,44K","-6,49%"
"12/01/2024","31,990","31,460","32,200","30,930","1,42K","3,81%"
"11/01/2024","30,815","30,700","31,000","30,235","0,41K","-0,40%"
"10/01/2024","30,940","31,145","31,450","30,325","0,49K","0,98%"
"09/01/2024","30,640","30,405","31,800","30,230","0,50K","-2,98%"
"08/01/2024","31,580","33,750","33,950","31,315","1,34K","-8,60%"
"05/01/2024","34,550","32,460","35,045","32,460","0,48K","3,41%"
"04/01/2024","33,410","33,575","33,920","32,125","1,12K","1,88%"
"03/01/2024","32,795","30,485","33,205","30,485","1,72K","7,28%"
"02/01/2024","30,570","33,395","33,395","30,070","0,32K","-5,50%"
"29/12/2023","32,350","33,550","34,065","31,635","0,21K","-2,28%"
"28/12/2023","33,105","34,015","34,015","34,010","1,00K","-6,79%"
"27/12/2023","35,515","36,875","36,875","35,500","0,63K","3,92%"
"26/12/2023","34,175","34,175","34,175","34,175","","0,00%"
"22/12/2023","34,174","34,560","34,665","33,480","0,70K","-0,09%"
"21/12/2023","34,205","34,270","36,245","33,970","0,66K","2,04%"
"20/12/2023","33,520","34,560","34,560","32,905","0,69K","2,92%"
"19/12/2023","32,570","34,330","34,330","32,180","0,58K","-8,31%"
"18/12/2023","35,520","33,635","37,385","32,465","2,61K","7,02%"
"15/12/2023","33,190","33,895","34,430","33,010","0,22K","-4,76%"
"14/12/2023","34,850","36,650","36,650","34,585","0,41K","-2,68%"
"13/12/2023","35,810","34,675","36,250","34,675","2,34K","3,18%"
"12/12/2023","34,705","36,430","36,535","34,535","0,85K","-3,92%"
"11/12/2023","36,120","36,345","37,155","35,950","1,19K","-6,42%"
"08/12/2023","38,600","41,275","41,650","38,595","0,14K","-3,43%"
"07/12/2023","39,970","39,800","40,885","39,610","0,08K","1,67%"
"06/12/2023","39,315","38,995","39,780","38,920","1,32K","3,09%"
"05/12/2023","38,135","39,455","39,920","37,940","2,35K","-4,91%"
"04/12/2023","40,105","41,815","41,900","39,905","0,85K","-7,80%"
"01/12/2023","43,496","42,795","44,120","41,745","1,01K","3,34%"
"30/11/2023","42,090","40,440","43,030","40,375","1,66K","4,29%"
"29/11/2023","40,360","41,275","41,275","39,570","0,22K","-5,65%"
"28/11/2023","42,775","44,095","44,095","42,070","4,86K","-2,75%"
"27/11/2023","43,985","45,045","45,045","43,740","1,24K","-5,72%"
"24/11/2023","46,655","46,250","47,180","44,930","0,36K","0,16%"
"23/11/2023","46,580","46,250","47,075","44,930","0,14K","4,40%"
"22/11/2023","44,615","44,050","45,130","43,355","0,25K","1,25%"
"21/11/2023","44,065","46,175","46,175","43,205","1,49K","-3,83%"
"20/11/2023","45,820","47,035","47,520","45,210","0,85K","1,68%"
"17/11/2023","45,064","46,100","46,750","44,850","0,29K","-1,71%"
"16/11/2023","45,850","46,470","47,820","45,485","0,24K","-2,52%"
"15/11/2023","47,035","48,495","49,380","46,485","0,35K","-1,21%"
"14/11/2023","47,610","46,895","48,000","46,065","1,54K","-0,55%"
"13/11/2023","47,875","45,940","47,995","44,565","0,20K","2,67%"
"10/11/2023","46,630","47,045","47,355","45,735","0,27K","-3,12%"
"09/11/2023","48,130","45,010","49,060","45,010","1,56K","5,14%"
"08/11/2023","45,775","45,750","46,210","45,000","0,91K","-0,61%"
"07/11/2023","46,055","45,240","47,050","45,005","2,22K","2,73%"
"06/11/2023","44,830","47,000","47,000","44,695","2,34K","-6,71%"
"03/11/2023","48,057","49,225","50,370","46,960","2,33K","-1,05%"
"02/11/2023","48,565","48,175","49,345","46,225","2,26K","1,70%"
"01/11/2023","47,755","46,590","48,945","46,450","3,92K","-0,52%"
"31/10/2023","48,005","51,490","51,960","47,650","2,90K","-5,03%"
"30/10/2023","50,547","54,425","54,425","50,900","0,04K","0,03%"
"27/10/2023","50,530","51,000","51,595","49,850","0,23K","-0,55%"
"26/10/2023","50,810","51,000","52,200","49,510","2,15K","1,77%"
"25/10/2023","49,925","50,280","51,105","48,910","0,80K","1,34%"
"24/10/2023","49,265","50,600","53,025","48,490","2,20K","-3,92%"
"23/10/2023","51,275","48,230","51,610","48,230","0,19K","0,32%"
"20/10/2023","51,112","52,845","52,845","49,510","1,69K","1,88%"
"19/10/2023","50,170","48,930","50,610","46,835","0,58K","-1,31%"
"18/10/2023","50,835","48,900","51,575","47,650","0,39K","3,97%"
"17/10/2023","48,895","48,210","49,390","46,405","0,20K","0,89%"
"16/10/2023","48,465","52,665","52,985","48,260","0,69K","-10,22%"
"13/10/2023","53,982","53,310","55,670","51,185","0,52K","1,85%"
"12/10/2023","53,000","45,795","53,165","45,345","1,73K","15,04%"
"11/10/2023","46,070","48,685","49,530","45,675","3,01K","-6,84%"
"10/10/2023","49,455","46,010","49,730","45,230","2,09K","12,51%"
"09/10/2023","43,955","41,170","44,535","40,620","0,86K","14,97%"
"06/10/2023","38,231","36,000","38,515","35,915","2,78K","5,60%"
"05/10/2023","36,205","37,620","37,620","36,050","1,07K","-5,81%"
"04/10/2023","38,440","37,600","38,645","36,965","1,34K","3,93%"
"03/10/2023","36,985","37,890","37,890","35,880","1,98K","-5,97%"
"02/10/2023","39,335","40,610","40,610","38,555","1,43K","-6,03%"
"29/09/2023","41,859","43,000","43,000","41,230","2,02K","5,34%"
"28/09/2023","39,736","40,630","41,600","39,500","1,78K","1,12%"
"27/09/2023","39,295","39,000","39,800","38,720","0,34K","-2,54%"
"26/09/2023","40,320","42,850","42,980","39,300","0,83K","-9,27%"
"25/09/2023","44,440","39,475","44,730","39,475","0,49K","11,68%"
"22/09/2023","39,791","39,915","41,735","39,455","2,93K","1,75%"
"21/09/2023","39,105","35,695","39,335","35,695","4,22K","4,88%"
"20/09/2023","37,285","38,575","39,270","35,675","2,60K","1,37%"
"19/09/2023","36,780","34,250","37,490","34,050","1,54K","6,69%"
"18/09/2023","34,475","34,495","35,820","33,950","2,55K","-5,51%"
"15/09/2023","36,485","35,130","36,710","34,815","2,24K","2,72%"
"14/09/2023","35,520","37,450","37,720","35,180","2,22K","-3,52%"
"13/09/2023","36,815","35,270","37,975","35,270","1,87K","6,10%"
"12/09/2023","34,700","35,130","36,575","34,335","1,24K","-3,21%"
"11/09/2023","35,850","36,540","37,710","35,605","1,66K","3,88%"
"08/09/2023","34,510","35,090","36,860","33,985","1,93K","5,36%"
"07/09/2023","32,755","30,955","33,110","30,570","0,19K","5,41%"
"06/09/2023","31,075","33,680","34,100","30,800","2,98K","-9,80%"
"05/09/2023","34,450","36,250","37,000","32,925","3,02K","1,94%"
"04/09/2023","33,795","36,250","37,000","33,025","1,95K","-5,12%"
"01/09/2023","35,617","35,750","37,155","34,315","3,05K","1,68%"
"31/08/2023","35,030","39,000","39,000","34,820","2,85K","-2,67%"
"30/08/2023","35,992","34,425","36,100","34,425","3,14K","2,26%"
"29/08/2023","35,195","36,885","36,885","34,805","1,95K","-8,38%"
"28/08/2023","38,415","35,495","38,480","35,495","0,11K","10,47%"
"25/08/2023","34,775","34,300","35,700","33,560","0,45K","8,88%"
"24/08/2023","31,940","33,165","33,480","31,725","0,50K","-13,17%"
"23/08/2023","36,785","41,650","42,495","36,475","0,72K","-14,27%"
"22/08/2023","42,910","39,355","44,700","39,355","5,92K","5,22%"
"21/08/2023","40,780","38,575","40,870","38,480","0,43K","12,00%"
"18/08/2023","36,410","36,265","37,750","35,685","0,55K","-1,13%"
"17/08/2023","36,825","37,150","39,325","36,325","0,59K","-2,54%"
"16/08/2023","37,785","41,830","41,830","37,160","1,42K","-2,65%"
"15/08/2023","38,815","36,835","40,500","36,200","1,70K","12,72%"
"14/08/2023","34,435","36,650","36,655","33,725","0,46K","-2,45%"
"11/08/2023","35,300","37,000","37,025","35,180","0,67K","-4,74%"
"10/08/2023","37,055","37,095","39,465","36,590","1,30K","-6,96%"
"09/08/2023","39,825","33,150","43,245","33,150","0,67K","28,20%"
"08/08/2023","31,065","29,810","31,695","29,785","0,82K","1,90%"
"07/08/2023","30,485","29,800","31,070","29,550","1,38K","5,66%"
"04/08/2023","28,853","29,500","29,785","28,645","1,45K","-5,32%"
"03/08/2023","30,475","29,875","31,350","29,680","2,08K","6,04%"
"02/08/2023","28,740","27,300","29,155","27,300","2,30K","5,95%"
"01/08/2023","27,125","29,115","29,115","26,980","2,04K","-4,37%"
"31/07/2023","28,365","27,805","28,925","27,170","0,62K","9,77%"
"28/07/2023","25,841","27,275","27,275","26,050","1,29K","-9,12%"
"27/07/2023","28,435","29,250","29,450","28,105","0,45K","-2,87%"
"26/07/2023","29,275","32,780","32,780","29,065","0,64K","-10,34%"
"25/07/2023","32,650","30,220","32,870","30,220","0,28K","6,86%"
"24/07/2023","30,555","28,150","30,425","28,150","0,28K","8,49%"
"21/07/2023","28,164","30,000","30,530","28,615","0,22K","0,51%"
"20/07/2023","28,020","25,540","27,915","25,540","0,48K","3,91%"
"19/07/2023","26,965","27,155","28,130","25,590","0,88K","-0,39%"
"18/07/2023","27,070","26,000","27,495","25,265","1,76K","7,85%"
"17/07/2023","25,100","24,465","25,785","24,465","3,05K","-3,30%"
"14/07/2023","25,957","27,570","28,700","25,110","1,82K","-2,44%"
"13/07/2023","26,605","26,885","27,545","26,230","0,37K","-0,13%"
"12/07/2023","26,640","28,455","28,580","26,320","1,54K","-8,33%"
"11/07/2023","29,060","29,930","29,930","28,910","0,54K","-3,85%"
"10/07/2023","30,225","32,830","32,830","29,555","0,77K","-9,72%"
"07/07/2023","33,478","33,300","33,585","32,705","0,26K","3,49%"
"06/07/2023","32,350","33,240","33,240","32,300","1,41K","-5,89%"
"05/07/2023","34,375","33,825","36,110","33,805","0,30K","1,31%"
"03/07/2023","33,930","37,820","37,820","33,995","0,40K","-8,55%"
"30/06/2023","37,103","35,195","37,650","35,195","0,13K","5,47%"
"29/06/2023","35,180","32,300","33,050","32,300","0,04K","3,09%"
"28/06/2023","34,125","33,800","34,400","33,800","0,03K","-1,10%"
"27/06/2023","34,505","32,905","32,905","32,350","0,06K","7,91%"
"26/06/2023","31,975","34,305","34,305","34,155","0,08K","-1,64%"
"23/06/2023","32,507","32,640","33,000","32,385","0,27K","-4,66%"
"22/06/2023","34,095","36,900","36,935","34,055","0,53K","-7,21%"
"21/06/2023","36,745","36,800","38,960","36,770","2,09K","-5,08%"
"20/06/2023","38,710","32,650","39,350","31,880","0,31K","10,57%"
"16/06/2023","35,010","34,550","37,050","32,400","0,10K","-14,91%"
"15/06/2023","41,145","37,350","43,530","37,350","0,18K","7,40%"
"14/06/2023","38,310","34,125","40,055","34,125","0,19K","6,27%"
"13/06/2023","36,050","33,650","35,150","33,650","0,04K","16,16%"
"12/06/2023","31,035","31,605","32,045","29,400","0,20K","-3,17%"
"09/06/2023","32,050","27,150","33,015","27,150","0,28K","18,95%"
"08/06/2023","26,945","26,550","28,500","26,050","0,42K","2,34%"
"07/06/2023","26,330","25,350","26,990","25,200","0,74K","5,91%"
"06/06/2023","24,860","28,300","28,300","24,775","0,33K","-12,71%"
"05/06/2023","28,480","24,250","28,695","24,250","0,08K","20,22%"
"02/06/2023","23,690","23,750","23,845","23,125","0,30K","2,53%"
"01/06/2023","23,105","25,200","25,200","23,430","0,20K","-13,95%"
"31/05/2023","26,850","25,495","27,950","25,495","0,04K","8,79%"
"30/05/2023","24,681","24,681","24,681","24,681","","0,66%"
"26/05/2023","24,520","25,435","25,435","23,790","0,10K","-3,65%"
"25/05/2023","25,450","26,900","26,900","25,290","0,04K","-8,40%"
"24/05/2023","27,785","28,630","28,630","28,630","0,05K","-4,60%"
"23/05/2023","29,125","29,125","29,125","29,125","0,04K","-1,97%"
"22/05/2023","29,710","30,200","30,200","30,200","0,17K","-1,54%"
"19/05/2023","30,175","30,175","30,175","30,175","","1,31%"
"18/05/2023","29,785","29,985","29,985","29,975","0,09K","-6,79%"
"17/05/2023","31,955","32,600","32,600","32,175","0,15K","0,42%"
"16/05/2023","31,820","32,350","32,930","31,635","0,44K","-1,53%"
"15/05/2023","32,315","32,305","33,600","32,000","0,28K","-1,37%"
"12/05/2023","32,765","33,950","33,950","32,350","0,43K","-6,37%"
"11/05/2023","34,995","34,900","35,160","34,670","0,43K","0,00%"
"10/05/2023","34,995","35,700","36,000","34,740","0,21K","-2,66%"
"09/05/2023","35,950","36,625","36,910","35,800","0,26K","-2,51%"
"08/05/2023","36,875","36,850","37,250","36,850","0,03K","0,82%"
"05/05/2023","36,575","35,925","36,790","35,925","0,34K","2,58%"
"04/05/2023","35,655","36,950","36,950","35,700","0,45K","-3,06%"
"03/05/2023","36,780","37,495","37,495","36,400","0,41K","-2,00%"
"02/05/2023","37,530","37,860","38,050","37,275","0,24K","-3,36%"
"01/05/2023","38,835","38,835","38,835","38,835","0,01K","0,77%"
"28/04/2023","38,540","39,800","39,800","38,300","0,00K","-1,28%"
"27/04/2023","39,039","39,039","39,039","39,039","0,02K","1,27%"
"26/04/2023","38,550","38,550","38,550","38,550","","-3,23%"
"25/04/2023","39,835","39,835","39,835","39,835","","-0,23%"
